,,,Julgane,CrocodyleTV,ZeratoR,_Linca,DFG_DrFeelgood,nemenems,SakorRos,Wingobear,Mynth0s,Elspawn,Pepito_kawazakii,Bytell2,Angle_Droit,NakaStream,Onutrem,TheGuill84,aypierre,Grimkujow,Brybry___,nisqylegoat,LadySundae,Theorus_,Mickaplow,JimmyBoyyy,KennyStream,Horty_,Brybry_,GotagaTV,Bebesukita,Fukano,ChloeRamdani,AntoineDaniel_,Maxouzboub,Terraciid,HarryLafranc,Etoiles,Gom4rt_,Kaatsup,HexakiI
abra,normal,caughtTimestamp,1739414246575,0,0,0,1739317163023,0,0,0.0,0,0,0,0,0,0,0,0,0,1739498461867,0.0,0,0,0,0,0,0,0,0,0,0,0,1739492802130,1739493907031,0,0,0,0,0,1739478970923,0
abra,normal,discoveredTimestamp,1739414246575,0,0,0,1739317163023,0,0,0.0,0,0,0,0,0,0,0,0,0,1739498461867,0.0,0,0,0,0,0,0,0,0,0,0,0,1739492802130,1739493907031,0,0,0,0,0,1739478970923,0
abra,normal,isShiny,False,0,0,0,False,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,0,0,0,False,0
abra,normal,status,CAUGHT,0,0,0,CAUGHT,0,0,0.0,0,0,0,0,0,0,0,0,0,CAUGHT,0.0,0,0,0,0,0,0,0,0,0,0,0,CAUGHT,CAUGHT,0,0,0,0,0,CAUGHT,0
absol,normal,caughtTimestamp,0,0,0,1739375782931,1739322427741,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1739381525900,0,1739476013229,0,0,0,0,0,0,0,0,0,0,0
absol,normal,discoveredTimestamp,0,0,0,1739375782931,1739322427741,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1739381525900,0,1739476013229,0,0,0,0,0,0,0,0,0,0,0
absol,normal,isShiny,0,0,0,False,False,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
absol,normal,status,0,0,0,CAUGHT,CAUGHT,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,CAUGHT,0,CAUGHT,0,0,0,0,0,0,0,0,0,0,0
aegislash,normal,caughtTimestamp,0,0,1739311972583,0,0,1739321988792,0,0.0,0,0,0,0,0,0,0,1739400144055,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1739490968530,0,0,0,0,0,0,0
aegislash,normal,discoveredTimestamp,0,0,1739311972583,0,0,1739321988792,0,0.0,0,0,0,0,0,0,0,1739400144055,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1739314703228,0,1739490968530,0,0,0,0,0,0,0
aegislash,normal,isShiny,0,0,False,0,0,False,0,0.0,0,0,0,0,0,0,0,False,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0
aegislash,normal,status,0,0,CAUGHT,0,0,CAUGHT,0,0.0,0,0,0,0,0,0,0,CAUGHT,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SEEN,0,CAUGHT,0,0,0,0,0,0,0
aggron,normal,caughtTimestamp,1739494680486,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggron,normal,discoveredTimestamp,1739494680486,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggron,normal,isShiny,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aggron,normal,status,CAUGHT,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aipom,normal,caughtTimestamp,0,0,0,0,1739501858984,1739455272692,1739396435618,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1739426159273,0,0,0,0,0,0,0,1739436673731,0,0,0
aipom,normal,discoveredTimestamp,0,0,0,0,1739501858984,1739455272692,1739396435618,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1739426159273,0,0,0,0,0,0,0,1739436673731,0,0,0
aipom,normal,isShiny,0,0,0,0,False,False,False,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,False,0,0,0
aipom,normal,status,0,0,0,0,CAUGHT,CAUGHT,CAUGHT,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,CAUGHT,0,0,0,0,0,0,0,CAUGHT,0,0,0
alakazam,normal,caughtTimestamp,1739494271067,0,0,0,1739396888022,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1739494606527,0,0,0,0,0,0,0
alakazam,normal,discoveredTimestamp,1739494271067,0,0,0,1739396888022,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1739494606527,0,0,0,0,0,0,0
alakazam,normal,isShiny,False,0,0,0,False,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0
alakazam,normal,status,CAUGHT,0,0,0,CAUGHT,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,CAUGHT,0,0,0,0,0,0,0
alcremie,normal,caughtTimestamp,1739497791693,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcremie,normal,discoveredTimestamp,1739497791693,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcremie,normal,isShiny,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcremie,normal,status,CAUGHT,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomomola,normal,caughtTimestamp,0,1739398470638,0,0,0,0,1739464434323,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomomola,normal,discoveredTimestamp,0,1739398470638,0,0,0,0,1739464434323,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomomola,normal,isShiny,0,False,0,0,0,0,False,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alomomola,normal,status,0,CAUGHT,0,0,0,0,CAUGHT,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altaria,normal,caughtTimestamp,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1739483702166,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altaria,normal,discoveredTimestamp,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1739483702166,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altaria,normal,isShiny,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altaria,normal,status,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,CAUGHT,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambipom,normal,caughtTimestamp,0,0,0,1739399597811,1739502303862,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1739500096508,0,0,0,0,0,0,0,0,0,0,0
ambipom,normal,discoveredTimestamp,0,0,0,1739399597811,1739502303862,0,0,0.0,0,0,0,0,0,0,0,0,0,1739390586115,0.0,0,0,0,0,0,0,0,0,1739500065006,0,0,0,0,0,0,0,0,0,0,0
ambipom,normal,isShiny,0,0,0,False,False,0,0,0.0,0,0,0,0,0,0,0,0,0,False,0.0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0
ambipom,normal,status,0,0,0,CAUGHT,CAUGHT,0,0,0.0,0,0,0,0,0,0,0,0,0,SEEN,0.0,0,0,0,0,0,0,0,0,CAUGHT,0,0,0,0,0,0,0,0,0,0,0
ampharos,normal,caughtTimestamp,1739495670140,0,0,0,1739496754435,0,1739397154926,0.0,0,0,0,0,0,0,0,0,0,1739465801865,0.0,0,0,0,0,1739374134736,1739473144333,1739386754043,0,0,0,1739495834131,0,0,0,0,0,1739320825675,0,0,0
ampharos,normal,discoveredTimestamp,1739495670140,0,0,0,1739496754435,0,1739397154926,0.0,0,0,0,0,0,0,0,0,0,1739465801865,0.0,0,0,0,0,1739374134736,1739473144333,1739386754043,0,0,0,1739495834131,0,0,0,0,0,1739320825675,0,0,0
