,,,Limstox360,Freezio_,MonMauvais,GoldMonster338,geek59,Naos0,acdc_zdnl,roselfe,Gaethap,alin,Razor2759,JojoLapero,rathur000,Cronox54,reppssomewhiles,heineswatchbook,uncessynthesize,stagescurfiness,vulvomishitting,ahemsdedicating,atokeholographs,horalrecognised,dillycrabapples,elriclespiques,shivaperiegeses,sykerconcretize,cholicaptivated,sinewrisibility,IntegraleEpice,syncsjasperizes,foliaperseveres,naturalizee,agonykettledrum,stupadisinvests,tennoasbestosis,salutunbreeched
stats,minecraft:broken,minecraft:bow,6.0,19.0,19.0,6.0,6.0,12.0,19.0,19.0,15.0,12.0,19.0,19.0,19.0,15.0,19.0,3.0,5.0,19.0,19.0,2.0,19.0,19.0,6.0,19.0,19.0,15.0,19.0,6.0,1.0,6.0,19.0,19.0,19.0,15.0,4.0,12.0
stats,minecraft:broken,minecraft:chainmail_boots,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
stats,minecraft:broken,minecraft:chainmail_chestplate,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
stats,minecraft:broken,minecraft:chainmail_helmet,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,1.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
stats,minecraft:broken,minecraft:chainmail_leggings,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
stats,minecraft:broken,minecraft:crossbow,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,2.0,4.0,2.0,8.0,8.0,8.0,8.0,8.0
stats,minecraft:broken,minecraft:diamond_axe,7.0,14.0,14.0,14.0,2.0,7.0,14.0,14.0,7.0,1.0,14.0,14.0,14.0,7.0,3.0,14.0,14.0,14.0,14.0,7.0,14.0,14.0,14.0,7.0,14.0,4.0,14.0,14.0,4.0,7.0,14.0,14.0,14.0,14.0,14.0,4.0
stats,minecraft:broken,minecraft:diamond_boots,8.0,23.0,16.0,11.0,2.0,23.0,11.0,23.0,16.0,1.0,23.0,23.0,23.0,8.0,23.0,5.0,16.0,11.0,16.0,8.0,5.0,23.0,23.0,11.0,16.0,23.0,23.0,11.0,3.0,23.0,23.0,16.0,23.0,16.0,5.0,4.0
stats,minecraft:broken,minecraft:diamond_chestplate,16.0,16.0,16.0,6.0,2.0,16.0,16.0,16.0,16.0,1.0,16.0,16.0,16.0,16.0,16.0,11.0,6.0,11.0,6.0,4.0,16.0,16.0,16.0,6.0,11.0,16.0,16.0,6.0,4.0,16.0,16.0,11.0,16.0,16.0,2.0,11.0
stats,minecraft:broken,minecraft:diamond_helmet,3.0,17.0,25.0,25.0,2.0,17.0,25.0,25.0,13.0,1.0,25.0,25.0,17.0,13.0,17.0,5.0,17.0,10.0,17.0,13.0,25.0,25.0,25.0,6.0,17.0,17.0,6.0,10.0,6.0,25.0,25.0,13.0,25.0,10.0,3.0,6.0
stats,minecraft:broken,minecraft:diamond_hoe,3.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,17.0,3.0,8.0,17.0,7.0,8.0,2.0,6.0,17.0,17.0,17.0,8.0,5.0,17.0,17.0,8.0,17.0,1.0,17.0,17.0,8.0,17.0,8.0,8.0,17.0,8.0,17.0,17.0
stats,minecraft:broken,minecraft:diamond_leggings,8.0,18.0,18.0,8.0,2.0,18.0,18.0,18.0,8.0,1.0,18.0,18.0,8.0,18.0,18.0,4.0,8.0,18.0,7.0,8.0,18.0,18.0,18.0,18.0,8.0,18.0,8.0,18.0,6.0,18.0,18.0,8.0,18.0,8.0,3.0,4.0
stats,minecraft:broken,minecraft:diamond_pickaxe,12.0,24.0,24.0,7.0,2.0,4.0,16.0,24.0,4.0,1.0,24.0,24.0,16.0,16.0,12.0,7.0,12.0,16.0,16.0,24.0,7.0,24.0,16.0,12.0,24.0,16.0,24.0,4.0,24.0,16.0,24.0,7.0,24.0,24.0,7.0,3.0
stats,minecraft:broken,minecraft:diamond_shovel,15.0,20.0,4.0,20.0,4.0,10.0,20.0,20.0,15.0,1.0,20.0,20.0,20.0,15.0,4.0,20.0,20.0,3.0,10.0,15.0,10.0,15.0,7.0,7.0,20.0,13.0,20.0,20.0,13.0,2.0,20.0,20.0,20.0,20.0,20.0,9.0
stats,minecraft:broken,minecraft:diamond_sword,9.0,9.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,6.0,2.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0
stats,minecraft:broken,minecraft:fishing_rod,14.0,17.0,17.0,9.0,17.0,17.0,3.0,17.0,17.0,9.0,9.0,17.0,17.0,17.0,17.0,17.0,14.0,17.0,6.0,1.0,3.0,17.0,17.0,17.0,17.0,17.0,17.0,6.0,2.0,17.0,9.0,6.0,17.0,9.0,5.0,14.0
stats,minecraft:broken,minecraft:flint_and_steel,20.0,8.0,10.0,5.0,5.0,20.0,3.0,20.0,8.0,7.0,20.0,10.0,20.0,20.0,20.0,4.0,20.0,10.0,20.0,1.0,2.0,20.0,20.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,20.0
stats,minecraft:broken,minecraft:golden_axe,18.0,11.0,18.0,6.0,18.0,11.0,18.0,18.0,18.0,11.0,11.0,18.0,18.0,3.0,18.0,18.0,18.0,18.0,6.0,6.0,11.0,6.0,18.0,18.0,18.0,18.0,6.0,4.0,2.0,11.0,5.0,18.0,18.0,18.0,11.0,1.0
stats,minecraft:broken,minecraft:golden_boots,14.0,14.0,2.0,14.0,14.0,5.0,14.0,14.0,14.0,5.0,14.0,14.0,14.0,14.0,14.0,5.0,4.0,14.0,14.0,5.0,14.0,14.0,14.0,5.0,14.0,14.0,14.0,2.0,1.0,5.0,5.0,5.0,14.0,14.0,14.0,5.0
stats,minecraft:broken,minecraft:golden_chestplate,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,10.0,10.0,3.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,3.0,1.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0
stats,minecraft:broken,minecraft:golden_helmet,16.0,16.0,16.0,16.0,16.0,5.0,16.0,16.0,16.0,2.0,16.0,16.0,16.0,16.0,5.0,5.0,3.0,16.0,3.0,5.0,16.0,16.0,5.0,5.0,5.0,16.0,16.0,5.0,1.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0
stats,minecraft:broken,minecraft:golden_hoe,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,4.0,7.0,7.0,7.0,7.0,4.0
stats,minecraft:broken,minecraft:golden_leggings,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,1.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0
stats,minecraft:broken,minecraft:golden_pickaxe,26.0,26.0,9.0,26.0,14.0,1.0,5.0,26.0,22.0,2.0,26.0,11.0,26.0,26.0,22.0,14.0,8.0,17.0,7.0,19.0,22.0,26.0,17.0,22.0,14.0,26.0,26.0,4.0,19.0,11.0,10.0,11.0,3.0,26.0,21.0,6.0
stats,minecraft:broken,minecraft:golden_shovel,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0
